Camera make;Camera model;File name;Focal length;
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7358 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7358 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7358 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7358 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7358.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7359 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7359 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7359 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7359 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7359.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7360 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7360 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7360 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7360 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7360.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7361 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7361 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7361 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7361 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7361.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7362 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7362 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7362 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7362 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7362.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7363 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7363 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7363 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7363 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7363.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7364 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7364 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7364 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7364 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7364.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7365 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7365 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7365 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7365 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7365.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7366 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7366 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7366 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7366 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7366.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7367 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7367 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7367 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7367 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7367.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7368 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7368 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7368 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7368 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7368.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7369 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7369 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7369 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7369 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7369.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7370 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7370 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7370 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7370 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7370.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7371 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7371 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7371 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7371 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7371.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7372 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7372 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7372 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7372 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7372.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7373 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7373 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7373 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7373 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7373.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7374 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7374 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7374 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7374 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7374.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7375 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7375 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7375 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7375 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7375.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7376 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7376 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7376 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7376 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7376.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7377 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7377 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7377 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7377 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7377.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7378 - Copie (2).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7378 - Copie (3).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7378 - Copie (4).JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7378 - Copie.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
NIKON;COOLPIX AW100;C:/Users/Florian/Desktop/1004\DSCN7378.JPG;5.0 mm (35 mm equivalent: 28.0 mm);
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093674 - Copie (2).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093674 - Copie (3).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093674 - Copie (4).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093674 - Copie.JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093674.JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093675 - Copie (2).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093675 - Copie (3).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093675 - Copie (4).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093675 - Copie.JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093675.JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093676 - Copie (2).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093676 - Copie (3).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093676 - Copie (4).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093676 - Copie.JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093676.JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093677 - Copie (2).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093677 - Copie (3).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093677 - Copie (4).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093677 - Copie.JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093677.JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093678 - Copie (2).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093678 - Copie (3).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093678 - Copie (4).JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093678 - Copie.JPG;14.0 mm;
OLYMPUS IMAGING CORP.;E-450;C:/Users/Florian/Desktop/1004\PB093678.JPG;14.0 mm;
